Throughput on Navigation Test,bandwidth (kB/s)
summit_sealfs,15.45
summit_sealfs,7.7
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,15.43
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.43
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.74
summit_sealfs,15.43
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.43
summit_sealfs,7.72
summit_sealfs,15.43
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,15.38
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,3.86
summit_sealfs,7.72
summit_sealfs,15.47
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.46
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,3.86
summit_sealfs,15.45
summit_sealfs,7.71
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.44
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.46
summit_sealfs,7.71
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,3.86
summit_sealfs,15.44
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.39
summit_sealfs,7.72
summit_sealfs,15.46
summit_sealfs,7.73
summit_sealfs,15.34
summit_sealfs,11.59
summit_sealfs,15.44
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,3.86
summit_sealfs,15.45
summit_sealfs,15.41
summit_sealfs,7.73
summit_sealfs,15.46
summit_sealfs,7.73
summit_sealfs,15.47
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.67
summit_sealfs,15.38
summit_sealfs,15.35
summit_sealfs,7.72
summit_sealfs,15.32
summit_sealfs,7.73
summit_sealfs,15.44
summit_sealfs,7.71
summit_sealfs,15.44
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,15.44
summit_sealfs,7.7
summit_sealfs,15.36
summit_sealfs,7.72
summit_sealfs,11.58
summit_sealfs,7.63
summit_sealfs,15.31
summit_sealfs,7.73
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.33
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.65
summit_sealfs,15.32
summit_sealfs,7.65
summit_sealfs,15.32
summit_sealfs,15.3
summit_sealfs,11.52
summit_sealfs,3.83
summit_sealfs,15.45
summit_sealfs,15.46
summit_sealfs,7.68
summit_sealfs,15.36
summit_sealfs,7.66
summit_sealfs,15.38
summit_sealfs,7.72
summit_sealfs,15.36
summit_sealfs,15.38
summit_sealfs,7.72
summit_sealfs,3.86
summit_sealfs,15.44
summit_sealfs,15.44
