ext4,116.17
ext4,119.27
ext4,119.1
ext4,115.78
ext4,119.91
ext4,119.84
ext4,119.95
ext4,112.16
ext4,123.72
ext4,119.91
ext4,112.13
ext4,119.85
ext4,119.81
ext4,116.06
ext4,119.89
ext4,115.92
ext4,116.02
ext4,119.9
ext4,119.94
ext4,116.0
ext4,116.05
ext4,119.85
ext4,119.77
ext4,116.09
ext4,119.82
ext4,119.79
ext4,112.18
ext4,120.02
ext4,123.71
ext4,112.11
ext4,119.87
ext4,119.86
ext4,112.12
ext4,123.82
ext4,119.98
ext4,112.12
ext4,119.88
ext4,115.96
ext4,123.73
ext4,116.01
ext4,115.84
ext4,119.78
ext4,116.0
ext4,119.94
ext4,119.91
ext4,112.17
ext4,119.96
ext4,119.83
ext4,115.96
ext4,119.84
ext4,119.54
ext4,119.87
ext4,112.15
ext4,122.87
ext4,119.33
ext4,115.96
ext4,116.04
ext4,119.83
ext4,119.79
ext4,116.05
ext4,116.03
ext4,119.95
ext4,116.07
ext4,119.86
ext4,119.48
ext4,119.21
ext4,112.12
ext4,123.82
ext4,119.17
ext4,115.85
ext4,115.94
ext4,119.76
ext4,119.9
ext4,116.01
ext4,119.76
ext4,116.05
ext4,116.12
ext4,119.9
ext4,120.07
ext4,116.06
ext4,116.05
ext4,119.9
ext4,116.08
ext4,119.79
ext4,119.84
ext4,119.76
ext4,111.25
ext4,123.78
ext4,119.93
ext4,112.11
ext4,119.99
ext4,119.93
ext4,116.04
ext4,119.8
ext4,115.99
ext4,119.91
ext4,115.91
ext4,119.07
ext4,119.93
ext4,112.11
ext4,119.69
ext4,119.89
ext4,123.79
ext4,112.17
ext4,119.2
ext4,119.91
ext4,112.23
ext4,123.83
ext4,119.86
ext4,115.88
ext4,115.6
ext4,119.87
ext4,119.81
ext4,115.99
ext4,115.89
ext4,119.9
ext4,116.05
ext4,119.61
ext4,119.64
ext4,119.51
ext4,112.08
ext4,118.98
ext4,123.72
ext4,119.84
ext4,112.23
ext4,119.84
ext4,115.95
ext4,119.89
ext4,119.86
ext4,115.47
ext4,115.92
ext4,115.95
ext4,123.67
ext4,119.9
ext4,111.47
ext4,119.9
ext4,119.54
ext4,115.97
ext4,119.73
ext4,119.78
ext4,119.82
ext4,112.09
ext4,123.92
ext4,119.75
ext4,112.07
ext4,119.83
ext4,119.76
ext4,115.72
ext4,119.78
ext4,116.06
ext4,119.86
ext4,116.17
ext4,119.92
ext4,119.78
ext4,112.16
ext4,120.0
ext4,123.71
ext4,112.25
ext4,119.93
ext4,119.84
ext4,112.16
ext4,123.76
ext4,119.46
ext4,112.24
ext4,119.87
ext4,119.85
ext4,119.86
ext4,116.01
ext4,116.01
ext4,119.93
ext4,116.01
ext4,119.97
ext4,119.9
ext4,112.21
ext4,119.93
ext4,119.74
ext4,116.06
ext4,119.88
ext4,119.9
